Abschrift,Copia
"Dekretale:  lib. III, tit. 30","Decretales: libro III, título 30"
"Dekretale: lib. I, tit. 21","Decretales: libro I, título 21"
"Dekretale: lib. I, tit. 22","Decretales: libro I, título 22"
"Dekretale: lib. I, tit. 30","Decretales: libro I, título 30"
"Dekretale: lib. I, tit. 33","Decretales: libro I, título 33"
"Dekretale: lib. I, tit. 42","Decretales: libro I, título 42"
"Dekretale: lib. I, tit. 6","Decretales: libro I, título 6"
"Dekretale: lib. I, tit. 9","Decretales: libro I, título 9"
"Dekretale: lib. I., tit. 25","Decretales: libro I, título 25"
"Dekretale: lib. I., tit. 41","Decretales: libro I, título 41"
"Dekretale: lib. II, t.4","Decretales: libro II, título 4"
"Dekretale: lib. II, tit. 10","Decretales: libro II, título 10"
"Dekretale: lib. II, tit. 12","Decretales: libro II, título 12"
"Dekretale: lib. II, tit. 18","Decretales: libro II, título 18"
"Dekretale: lib. II, tit. 28","Decretales: libro II, título 28"
"Dekretale: lib. II, tit. 3","Decretales: libro II, título 3"
"Dekretale: lib. II, tit. 30","Decretales: libro II, título 30"
"Dekretale: lib. II, tit. 39","Decretales: libro II, título 39"
"Dekretale: lib. II, tit. 8","Decretales: libro II, título 8"
"Dekretale: lib. III, tit. 24","Decretales: libro III, título 24"
"Dekretale: lib. III, tit. 35","Decretales: libro III, título 35"
"Dekretale: lib. III, tit. 36","Decretales: libro III, título 36"
"Dekretale: lib. III, tit. 37","Decretales: libro III, título 37"
"Dekretale: lib. III, tit. 41","Decretales: libro III, título 41"
"Dekretale: lib. III, tit. 42","Decretales: libro III, título 42"
"Dekretale: lib. III, tit. 46","Decretales: libro III, título 46"
Dekretale: lib. III. tit. 38,"Decretales: libro III, título 38"
"Dekretale: lib. IV, tit. 11","Decretales: libro IV, título 11"
"Dekretale: lib. IV, tit. 12","Decretales: libro IV, título 12"
"Dekretale: lib. V, tit 40","Decretales: libro V, título 40"
"Dekretale: lib. V, tit. 14","Decretales: libro V, título 14"
"Dekretale: lib. V, tit. 22","Decretales: libro V, título 22"
"Dekretale: lib. V, tit. 23","Decretales: libro V, título 23"
"Dekretale: lib. V, tit. 24","Decretales: libro V, título 24"
"Dekretale: lib. V, tit. 3","Decretales: libro V, título 3"
"Dekretale: lib. V, tit. 38","Decretales: libro V, título 38"
"Dekretale: lib. V, tit. 41","Decretales: libro V, título 41"
"Dekretale: lib. V, tit. 5","Decretales: libro V, título 5"
"Dekretale: lib. V, tit. I","Decretales: libro V, título I"
"Dekretale: lib. V,. tit. 28","Decretales: libro V, título 28"
"Dekretale: lib.I, tit. 35","Decretales: libro I, título 35"
"Dekretale: lib.II, tit.25","Decretales: libro II, título 25"
"Dekretale: lib.III, tit.48","Decretales: libro III, título 48"
"Dekretale: lib.V, tit.20","Decretales: libro V, título 20"
Gewicht,Peso
Im Siegel,En sellos
Mass,Medida
Münze,Moneda
Ort,Lugar
Ortsspezifisch: Amalfi,Propio de: Amalfi
Ortsspezifisch: Anjou,Propio de: Anjou
Ortsspezifisch: Bergamo,Propio de: Bérgamo
Ortsspezifisch: Biel,Propio de: Biel
Ortsspezifisch: Biella,Propio de: Biella
Ortsspezifisch: Bologna,Propio de: Bolonia
Ortsspezifisch: Bormio,Propio de: Bormio
Ortsspezifisch: Brescia,Propio de: Brescia
Ortsspezifisch: Böhmen,Propio de: Bohemia
Ortsspezifisch: Cremona,Propio de: Cremona
Ortsspezifisch: Forli,Propio de: Forlì
Ortsspezifisch: Frankreich,Propio de: Francia
Ortsspezifisch: Genua,Propio de: Génova
Ortsspezifisch: Imola,Propio de: Imola
Ortsspezifisch: Irland,Propio de: Irlanda
Ortsspezifisch: Ligurien,Propio de: Liguria
Ortsspezifisch: Ligurien ,Propio de: Liguria
Ortsspezifisch: Lodi,Propio de: Lodi
Ortsspezifisch: Lombardei,Propio de: Lombardía
Ortsspezifisch: Mailand,Propio de: Milán
Ortsspezifisch: Mantua,Propio de: Mantua
Ortsspezifisch: Modena,Propio de: Módena
Ortsspezifisch: Neapel,Propio de: Nápoles
Ortsspezifisch: Padua,Propio de: Padua
Ortsspezifisch: Parma,Propio de: Parma
Ortsspezifisch: Pavia,Propio de: Pavía
Ortsspezifisch: Piacenza,Propio de: Piacenza
Ortsspezifisch: Piemont,Propio de: Piamonte
Ortsspezifisch: Ravenna,Propio de: Rávena
Ortsspezifisch: Rom,Propio de: Roma
Ortsspezifisch: Salerno,Propio de: Salerno
Ortsspezifisch: Sardinien,Propio de: Cerdeña
Ortsspezifisch: Schweiz,Propio de: Suiza
Ortsspezifisch: Siena,Propio de: Siena
Ortsspezifisch: Sizilien,Propio de: Sicilia
Ortsspezifisch: Spanien,Propio de: España
Ortsspezifisch: Venedig,Propio de: Venecia
Ortsspezifisch: Verona,Propio de: Verona
Ortsspezifisch: Vicenza,Propio de: Vicenza
Schrift: Angelsächsisch,Escritura: anglosajona
Schrift: Beneventana,Escritura: beneventana
Schrift: Capitalis rustica,Escritura: capital rústica
Schrift: Capuana,Escritura: capuana
Schrift: Karolingisch,Escritura: carolingia
Schrift: Langobardisch,Escritura: lombarda
Schrift: Merowingisch,Escritura: merovingia
Schrift: Normannisch,Escritura: normanda
Schrift: Unziale,Escritura: uncial
Schrift: Westgotisch,Escritura: visigótica
Schrift: irisch,Escritura: irlandesa
Schrift: irisch-sächsisch,Escritura: hiberno-sajona
Schrift: irisch-sächsisch ,Escritura: hiberno-sajona
arabische Zahl,Número arábigo
auf der Rückseite von Briefen,En el reverso de cartas
im Plural,En plural
im Siegel,En sellos
in Briefen,En cartas
in Nekrologen,En necrologios
in Suppliken,En súplicas
in den Totenregistern,En registros de difuntos
in päpstlichen Bullen,En bulas papales
in päpstlichen Bullen ,En bulas papales
juristische Abkürzung,Abreviatura jurídica
juristische Abkürzung ,Abreviatura jurídica
kirchliche Abkürzung,Abreviatura eclesiástica
konventionelles Zeichen,Signo convencional
medizinische Abkürzung,Abreviatura médica
medizinische Abkürzung ,Abreviatura médica
pharmazeutische Abkürzung,Abreviatura farmacéutica
römische Zahl,Número romano
